#light_curve_number,stellar_mag,T0(days),Porb(days),impact_parameter,rho_star(g/cm^2),rp_rs,u1,u2,             S+2015_lc_number,activity_level,stellar_period,             Teff,log_g,metallicity,cont_q1q5,cont_q2q6,cont_q3q7,cont_q4q8
 140, 8.23,30.6091532,67.0199493,0.9440161,1.3446938,0.0102135,1.0575196,-0.5147811,40,0.7200,34.72,5943.6130,4.0249,0.2235,0.0812,0.0849,0.0002,0.0302
 141, 9.39,89.1274173,159.9427400,0.5356806,2.5056021,0.0437413,1.5980055,-0.7543792,383,0.4100,34.60,6580.8110,3.7852,-0.0105,0.0985,0.0861,0.0275,0.0919
 142, 9.98,109.3968595,240.0075576,0.8899034,1.3746266,0.0117739,1.5301702,-0.5625480,670,0.6200,10.90,6648.7570,4.3177,-0.1148,0.0110,0.0616,0.0812,0.0588
 143, 10.93,103.9255116,142.4465643,0.9613015,2.5165048,0.0101444,0.3433666,-0.0335817,879,2.1400,12.07,5512.1950,4.5046,0.0526,0.0364,0.0671,0.0572,0.0274
 144, 10.69,188.8365805,323.0169278,0.0580904,1.6809497,0.0842575,0.6174553,0.1309136,796,3.1500,13.87,6580.8110,3.7852,-0.0105,0.0481,0.0983,0.0882,0.0328
 145, 9.67,30.4006291,54.6213099,0.7365417,1.9831421,0.0358608,1.7663028,-0.8114363,951,0.8800,53.12,6516.5270,4.0217,0.0950,0.0733,0.0137,0.0520,0.0179
 146, 8.51,224.8062948,257.6476015,0.7534686,1.4341466,0.0919847,0.4381743,0.1846611,713,1.4300,25.46,5512.1950,4.5046,0.0526,0.0787,0.0343,0.0806,0.0090
 147, 9.68,208.2581454,287.4480372,0.5452527,1.1554440,0.0335265,0.5670596,0.0677240,479,0.5100,12.44,6648.7570,4.3177,-0.1148,0.0184,0.0362,0.0640,0.0644
 148, 9.55,58.6692945,105.8346676,0.8515360,2.0235273,0.0240727,1.0518233,-0.3252130,690,0.5800,9.38,6580.8110,3.7852,-0.0105,0.0186,0.0783,0.0509,0.0396
 149, 8.58,0.4982025,32.9127469,0.8032689,2.3806844,0.0685490,0.4041354,0.4723917,468,1.9200,36.90,5943.6130,4.0249,0.2235,0.0612,0.0364,0.0480,0.0363
 150, 8.99,44.6710920,99.3778215,0.6489228,1.1772045,0.0639425,0.1034575,0.1497997,366,2.7600,23.00,5512.1950,4.5046,0.0526,0.0570,0.0700,0.0112,0.0445
 151, 10.47,229.2060135,336.8130824,0.9579132,1.5239385,0.0227499,0.2846947,0.5766646,608,2.1600,40.48,6516.5270,4.0217,0.0950,0.0005,0.0152,0.0361,0.0733
 152, 10.80,40.2661286,136.5289374,0.4034142,1.6650590,0.0163888,0.4752184,-0.0328818,562,0.6800,13.82,6516.5270,4.0217,0.0950,0.0872,0.0499,0.0906,0.0376
 153, 9.27,88.8385181,355.5189959,0.1244758,1.1279111,0.0268566,1.0681781,-0.4242480,57,1.5200,24.68,5512.1950,4.5046,0.0526,0.0605,0.0813,0.0059,0.0166
 154, 10.60,146.9242753,164.9420178,0.7505980,1.1631234,0.0194064,0.3187136,0.4259789,628,1.1700,1.65,5512.1950,4.5046,0.0526,0.0848,0.0265,0.0155,0.0665
 155, 8.53,89.6623026,146.2210885,0.1290110,1.4949700,0.0467449,1.5183845,-0.7290854,676,0.9600,2.28,6516.5270,4.0217,0.0950,0.0984,0.0443,0.0237,0.0265
 156, 10.30,28.9662791,47.5805011,0.3938465,1.2145913,0.0132828,0.5163137,0.4807033,141,0.8100,35.00,6648.7570,4.3177,-0.1148,0.0583,0.0820,0.0180,0.0580
 157, 8.10,212.0839278,231.8463325,0.1490774,1.3970521,0.0140094,0.8690879,-0.4320457,901,0.3500,15.78,6648.7570,4.3177,-0.1148,0.0093,0.0629,0.0034,0.0069
 158, 10.29,199.4252681,297.5407509,0.9560411,1.8886036,0.0437296,0.8442425,-0.3534281,338,1.7200,11.95,6580.8110,3.7852,-0.0105,0.0011,0.0833,0.0054,0.0416
 159, 9.96,49.3476472,307.1591136,0.8276684,2.1163839,0.0149774,0.5827108,0.0650589,41,0.6200,32.25,5943.6130,4.0249,0.2235,0.0367,0.0145,0.0209,0.0265
 160, 10.95,187.8103203,242.4221955,0.9748495,1.0845237,0.0141675,1.1393039,-0.5617944,95,0.5200,37.15,6580.8110,3.7852,-0.0105,0.0604,0.0191,0.0454,0.0738
 161, 10.56,115.0916914,134.3053294,0.0789341,1.0726660,0.0119783,1.0062367,-0.4327150,443,2.3200,14.47,5512.1950,4.5046,0.0526,0.0947,0.0600,0.0269,0.0423
 162, 10.75,8.1284995,145.1495270,0.5839043,2.0913178,0.0311780,0.8320175,0.1281961,113,1.9300,28.59,5512.1950,4.5046,0.0526,0.0868,0.0681,0.0833,0.0404
 163, 10.14,72.2113163,189.8814102,0.6193850,1.6163233,0.0610234,0.9521833,-0.4166233,940,2.9000,6.58,5943.6130,4.0249,0.2235,0.0118,0.0027,0.0377,0.0769
 164, 9.61,269.7728606,323.8937649,0.9777757,2.6492659,0.0140203,0.0043241,0.4600654,940,2.9000,6.58,5943.6130,4.0249,0.2235,0.0876,0.0772,0.0229,0.0285
 165, 9.24,91.8382947,190.9615847,0.9710245,2.2860731,0.0373852,0.2988352,0.6992102,494,1.7100,43.72,6580.8110,3.7852,-0.0105,0.0072,0.0461,0.0139,0.0891
 166, 9.07,52.5987451,108.1247345,0.9982038,2.3039052,0.0310229,1.8092639,-0.8195387,840,0.6300,29.38,6648.7570,4.3177,-0.1148,0.0959,0.0473,0.0293,0.0329
 167, 9.45,130.6781076,348.9977158,0.0574317,2.0114133,0.0109503,0.2953822,0.1201717,603,0.4700,23.68,6516.5270,4.0217,0.0950,0.0672,0.0986,0.0955,0.0653
 168, 8.76,30.2786574,99.4395035,0.6974855,0.8975817,0.0105119,0.4795321,0.3067002,605,0.4700,33.14,5512.1950,4.5046,0.0526,0.0869,0.0084,0.0650,0.0640
 169, 8.55,321.7922830,361.1297809,0.3752129,1.5945692,0.0270687,0.2765869,0.1869525,853,2.5100,32.20,5512.1950,4.5046,0.0526,0.0276,0.0214,0.0201,0.0395
 170, 10.22,6.1895727,212.1673233,0.1445358,2.7025040,0.0287577,0.2989690,0.5758669,492,1.3700,33.19,6580.8110,3.7852,-0.0105,0.0467,0.0374,0.0921,0.0609
 171, 8.32,192.8080169,362.7915160,0.1669455,2.6680469,0.0303193,0.7704519,-0.2926028,601,0.4900,13.04,6516.5270,4.0217,0.0950,0.0866,0.0779,0.0881,0.0684
 172, 8.13,246.8700133,250.5125945,0.8405515,2.8904500,0.0223040,0.3436606,0.3140746,466,1.0100,45.41,5512.1950,4.5046,0.0526,0.0620,0.0204,0.0348,0.0964
 173, 8.29,34.7353357,93.0761345,0.1578447,2.6370238,0.0259976,1.5252019,-0.7122928,183,0.6200,36.54,5512.1950,4.5046,0.0526,0.0924,0.0379,0.0499,0.0949
 174, 9.38,41.6077588,88.6475715,0.8754143,1.2993739,0.0135960,0.8277864,-0.1408851,858,1.2900,21.09,6580.8110,3.7852,-0.0105,0.0212,0.0062,0.0548,0.0161
 175, 9.59,60.7233168,103.5776905,0.8133265,2.9356950,0.0657843,0.0690551,0.8033629,896,0.9700,12.71,6648.7570,4.3177,-0.1148,0.0044,0.0884,0.0307,0.0304
 176, 9.57,8.7897124,10.7447103,0.1228707,2.9977387,0.0128986,0.2617005,0.5309840,568,0.7900,80.21,6648.7570,4.3177,-0.1148,0.0937,0.0034,0.0124,0.0748
 177, 10.81,16.1319820,181.8850999,0.2163685,1.1484809,0.0112803,0.8542613,0.0001737,364,1.0500,5.66,5512.1950,4.5046,0.0526,0.0339,0.0051,0.0319,0.0092
 178, 8.61,221.9905893,295.0977158,0.8967111,2.9265024,0.0218842,0.9150451,-0.2606810,624,2.1000,10.76,5512.1950,4.5046,0.0526,0.0662,0.0472,0.0696,0.0517
 179, 10.86,321.1427178,354.1826178,0.7767641,1.6851625,0.0104386,0.7555477,-0.0502360,178,0.9300,17.43,5943.6130,4.0249,0.2235,0.0242,0.0316,0.0397,0.0235
 180, 8.40,32.0795488,219.6328816,0.0376057,1.9825314,0.0337380,1.5443918,-0.7067156,117,1.8600,10.40,6516.5270,4.0217,0.0950,0.0942,0.0454,0.0487,0.0992
 181, 8.19,72.3962179,191.5851166,0.3798266,2.3737582,0.0181746,0.0896051,0.4890758,878,2.2200,19.45,5512.1950,4.5046,0.0526,0.0300,0.0491,0.0254,0.0912
 182, 10.84,16.7280562,29.2261781,0.2047731,1.0697332,0.0476770,0.2270513,0.3362184,956,0.5900,7.45,5943.6130,4.0249,0.2235,0.0959,0.0786,0.0093,0.0718
 183, 10.82,57.7077772,132.7362151,0.5169798,2.7540123,0.0219148,0.7648578,-0.0839911,996,2.2200,5.72,5512.1950,4.5046,0.0526,0.0979,0.0911,0.0404,0.0117
 184, 10.32,129.1467385,276.2705957,0.7349548,2.9358136,0.0249361,0.1381358,0.3312138,697,0.7900,24.24,6516.5270,4.0217,0.0950,0.0081,0.0747,0.0733,0.0980
 185, 10.42,6.4998240,31.0203048,1.0197790,2.1090975,0.0629308,1.1642822,-0.4063107,311,0.8200,44.78,6648.7570,4.3177,-0.1148,0.0665,0.0513,0.0009,0.0235
 186, 9.66,68.4467474,129.0675729,0.5257964,2.8704236,0.0123482,1.1540250,-0.3017588,462,0.9600,14.83,6580.8110,3.7852,-0.0105,0.0232,0.0182,0.0662,0.0410
 187, 8.61,4.8965187,11.3890905,0.1326835,0.9102569,0.0834726,0.9222086,-0.3121046,170,1.2900,49.17,6516.5270,4.0217,0.0950,0.0138,0.0716,0.0929,0.0153
 188, 10.19,85.8122078,142.5704054,0.6839163,2.0067157,0.0382938,0.6985091,0.1693743,742,1.1200,9.42,6580.8110,3.7852,-0.0105,0.0904,0.0180,0.0301,0.0409
 189, 9.63,0.4175524,154.0417870,0.8157112,1.1965325,0.0224592,1.0546710,-0.1447038,755,2.9800,3.33,6648.7570,4.3177,-0.1148,0.0532,0.0194,0.0238,0.0413
 190, 10.41,81.7293445,235.0897170,0.0729404,2.7406051,0.0443593,0.1850185,0.4665225,598,1.3100,20.92,5943.6130,4.0249,0.2235,0.0320,0.0050,0.0104,0.0124
 191, 10.93,87.9888337,148.8030796,0.1632316,2.1160963,0.0106445,0.8306515,-0.0994655,134,2.7600,41.27,5943.6130,4.0249,0.2235,0.0658,0.0576,0.0621,0.0529
 192, 10.09,135.4461182,145.9179757,0.4515794,2.7277321,0.0379908,0.6196025,0.3128907,613,0.7500,32.82,5943.6130,4.0249,0.2235,0.0356,0.0564,0.0060,0.0692
 193, 9.13,280.2865071,315.6849412,0.3893583,2.9007893,0.0707855,0.3711613,-0.1276156,90,1.1600,25.41,5512.1950,4.5046,0.0526,0.0265,0.0062,0.0840,0.0620
 194, 9.63,258.3902779,276.5094051,0.5984999,1.4600430,0.0134498,1.8003496,-0.8754215,253,2.0400,39.75,5943.6130,4.0249,0.2235,0.0540,0.0503,0.0450,0.0191
 195, 10.37,39.5512413,144.0567606,0.1295662,2.0191392,0.0161791,0.2935111,-0.0895582,452,1.5700,75.34,5512.1950,4.5046,0.0526,0.0026,0.0809,0.0154,0.0871
 196, 9.71,351.1259533,351.8327612,0.5144398,1.3276015,0.0304239,1.0243317,-0.4605642,718,1.4900,15.46,6580.8110,3.7852,-0.0105,0.0501,0.0361,0.0105,0.0442
 197, 9.06,265.7186602,297.5225592,0.2408553,2.6830896,0.0209554,1.5264958,-0.7252981,241,0.9800,20.38,5943.6130,4.0249,0.2235,0.0544,0.0697,0.0347,0.0151
 198, 9.87,79.4664954,300.2805336,0.0337302,0.8555284,0.0188907,0.1820968,0.6380332,821,1.8000,49.93,6580.8110,3.7852,-0.0105,0.0625,0.0881,0.0136,0.0079
 199, 9.30,19.0876598,102.8524995,0.1798469,1.5282728,0.0800867,0.2324610,-0.0904005,306,0.6500,20.02,5512.1950,4.5046,0.0526,0.0291,0.0968,0.0158,0.0218
 200, 8.84,26.6318388,28.6948304,0.8903256,2.6198065,0.0334086,0.1760823,0.2715773,329,0.7600,22.58,6580.8110,3.7852,-0.0105,0.0658,0.0653,0.0593,0.0005
 201, 10.71,6.8181182,336.6296074,0.6418276,2.3476005,0.0573354,1.2193837,-0.5083027,559,0.9200,20.95,6648.7570,4.3177,-0.1148,0.0916,0.0444,0.0704,0.0482
 202, 9.97,38.7038479,362.9074399,0.4139524,1.0631742,0.0230494,0.0988697,0.6551903,521,1.2000,10.36,6648.7570,4.3177,-0.1148,0.0550,0.0166,0.0608,0.0332
 203, 10.03,168.7232091,188.7764211,0.4988668,1.4467313,0.0211930,0.3002434,0.5360763,772,1.4900,25.33,5512.1950,4.5046,0.0526,0.0416,0.0910,0.0042,0.0742
 204, 10.02,50.1934001,72.9823482,0.7373971,2.2590919,0.0949217,0.0256865,0.8875531,347,2.5200,12.15,6516.5270,4.0217,0.0950,0.0460,0.0543,0.0755,0.0051
 205, 9.22,36.1666143,275.9048477,0.0668454,2.8733101,0.0692257,0.5396030,0.2616925,983,1.0300,36.33,6580.8110,3.7852,-0.0105,0.0444,0.0714,0.0542,0.0327
 206, 10.13,127.2750081,284.6339608,0.6113787,1.0876028,0.0675595,0.1495089,0.2367627,651,0.3200,16.13,5512.1950,4.5046,0.0526,0.0308,0.0445,0.0737,0.0462
 207, 9.23,98.0130322,100.8526595,0.5026386,1.8543694,0.0486098,1.2317301,-0.2399767,302,2.9400,32.95,5512.1950,4.5046,0.0526,0.0065,0.0796,0.0447,0.0167
 208, 10.61,51.5857699,75.1320904,0.3526331,1.4238476,0.0726787,1.4658512,-0.6243229,87,0.6500,16.28,5512.1950,4.5046,0.0526,0.0689,0.0196,0.0950,0.0397
 209, 9.54,6.6102911,85.7581345,0.9980018,2.9613622,0.0166511,0.3243087,0.0574863,925,1.9000,11.15,5512.1950,4.5046,0.0526,0.0657,0.0699,0.0677,0.0795
 210, 9.47,15.9170793,188.3196539,0.3723579,1.4882362,0.0182314,1.3635025,-0.3928089,983,1.0300,36.33,5943.6130,4.0249,0.2235,0.0014,0.0206,0.0754,0.0894
 211, 10.05,117.5903977,360.3794472,0.9414889,2.5833319,0.0973502,1.6175914,-0.7272837,32,1.6500,22.50,5943.6130,4.0249,0.2235,0.0396,0.0071,0.0400,0.0067
 212, 10.56,236.0722356,322.2607311,0.6583053,1.1940965,0.0595920,0.8339779,-0.1177184,975,2.6900,33.06,6580.8110,3.7852,-0.0105,0.0382,0.0668,0.0082,0.0995
 213, 9.76,35.1274399,144.3447276,0.5375096,1.1551853,0.0210704,1.0770625,-0.3792207,697,0.7900,24.24,6580.8110,3.7852,-0.0105,0.0260,0.0160,0.0925,0.0905
 214, 10.81,62.3534317,235.2326885,0.5239479,1.3803027,0.0283052,0.2349204,0.1944073,381,2.1400,16.37,6516.5270,4.0217,0.0950,0.0720,0.0290,0.0110,0.0553
 215, 9.75,37.6352666,161.1950926,0.6712451,1.4073163,0.0879445,1.2918319,-0.3149809,722,1.5800,14.29,6648.7570,4.3177,-0.1148,0.0877,0.0024,0.0022,0.0506
 216, 8.99,38.1256783,87.8963638,0.8821218,2.1549881,0.0159917,0.7510708,-0.1661128,375,0.7100,19.16,6516.5270,4.0217,0.0950,0.0025,0.0401,0.0834,0.0441
 217, 9.18,142.5840643,187.9709367,0.8457197,2.4879281,0.0241424,1.2930295,-0.5131162,463,0.6900,18.43,6648.7570,4.3177,-0.1148,0.0672,0.0001,0.0397,0.0240
 218, 10.80,7.9149905,51.4038154,0.6365323,1.0233286,0.0337452,0.3304789,-0.0907174,597,2.0900,5.89,6580.8110,3.7852,-0.0105,0.0416,0.0938,0.0899,0.0709
 219, 9.86,125.9990399,301.5901013,0.3795642,1.0689192,0.0138472,1.1401619,-0.5246404,2,1.3400,17.04,5943.6130,4.0249,0.2235,0.0588,0.0315,0.0763,0.0428
 220, 10.38,13.9766162,23.5960738,0.4686183,1.8845725,0.0153622,1.0575903,-0.5244725,82,2.1600,35.70,6516.5270,4.0217,0.0950,0.0153,0.0734,0.0110,0.0055
 221, 8.62,127.5079856,177.9574374,0.4257126,2.3993358,0.0298137,0.6374089,-0.1406623,46,0.9300,26.35,6580.8110,3.7852,-0.0105,0.0180,0.0191,0.0669,0.0724
 222, 9.58,84.1164110,123.9008472,0.1799638,0.8595810,0.0180378,0.5610352,0.2842085,722,1.5800,14.29,5512.1950,4.5046,0.0526,0.0223,0.0196,0.0366,0.0949
 223, 10.17,69.2913038,78.2949091,0.4951956,1.9723596,0.0662171,1.0222961,-0.1922855,679,0.4600,12.34,6516.5270,4.0217,0.0950,0.0134,0.0439,0.0869,0.0552
 224, 9.29,109.3307037,187.3622920,0.3931317,2.3453828,0.0576340,0.6812072,-0.2694137,965,0.4800,32.69,6580.8110,3.7852,-0.0105,0.0585,0.0700,0.0769,0.0872
 225, 9.46,23.2004936,35.8272824,0.6351993,1.0559087,0.0483333,1.1496099,-0.4640307,903,0.6400,13.86,6516.5270,4.0217,0.0950,0.0817,0.0446,0.0501,0.0715
 226, 9.07,108.0750475,164.6187909,0.6277543,1.5377668,0.0474915,0.8504943,0.1196509,760,1.3300,34.81,6580.8110,3.7852,-0.0105,0.0988,0.0609,0.0022,0.0313
 227, 10.50,293.3869722,343.1631400,0.7669609,2.1348396,0.0915424,0.1338708,0.3666976,13,2.6300,46.51,6580.8110,3.7852,-0.0105,0.0846,0.0247,0.0710,0.0765
 228, 9.63,55.1417343,100.8244648,0.9996576,2.0840233,0.0306525,0.2372140,0.2743984,958,0.3900,12.70,6648.7570,4.3177,-0.1148,0.0828,0.0640,0.0882,0.0394
 229, 8.87,10.2037805,162.1257575,0.5714058,2.6352142,0.0107863,0.4603596,0.1913531,37,0.7100,22.62,5512.1950,4.5046,0.0526,0.0681,0.0235,0.0007,0.0098
 230, 8.23,19.0356932,113.4517954,0.8037143,2.1270628,0.0171543,0.3207922,-0.0209421,231,0.5000,20.70,5512.1950,4.5046,0.0526,0.0369,0.0121,0.0035,0.0399
 231, 8.50,33.4808247,40.6635778,0.3508627,1.3223252,0.0261693,0.5428928,0.4450515,298,1.3000,26.17,6580.8110,3.7852,-0.0105,0.0153,0.0470,0.0831,0.0003
 232, 8.98,46.3993094,65.2914113,0.0093774,2.6792296,0.0371353,0.4048998,0.4391728,920,2.4500,23.46,5512.1950,4.5046,0.0526,0.0682,0.0347,0.0794,0.0491
 233, 9.37,40.8750284,189.9610403,0.1480131,1.0616650,0.0348670,0.6031925,0.1618860,847,0.3400,73.90,6648.7570,4.3177,-0.1148,0.0140,0.0461,0.0999,0.0941
 234, 8.10,37.5927175,45.3251877,0.8112532,0.8470656,0.0403456,0.6197401,0.2039435,222,1.7900,24.41,6516.5270,4.0217,0.0950,0.0118,0.0574,0.0896,0.0863
 235, 8.44,148.6332488,269.0647854,0.1131886,2.5004576,0.0120440,0.4476742,0.2331267,875,0.4500,30.06,6580.8110,3.7852,-0.0105,0.0056,0.0897,0.0440,0.0456
 236, 8.06,1.2228366,73.7487820,0.1823644,1.0564994,0.0878544,0.4249175,0.3270852,454,1.4200,16.25,6648.7570,4.3177,-0.1148,0.0326,0.0243,0.0727,0.0196
 237, 10.99,146.5881515,278.9025002,0.8002931,1.7078470,0.0275490,0.8758420,-0.2535997,583,2.8700,21.07,5512.1950,4.5046,0.0526,0.0055,0.0164,0.0151,0.0615
 238, 9.61,155.9518160,210.4904925,0.0397605,0.9662276,0.0123580,0.2808918,-0.0911826,173,3.1600,15.74,6580.8110,3.7852,-0.0105,0.0439,0.0127,0.0115,0.0290
 239, 9.71,326.4823265,348.1945552,0.0320390,1.0355563,0.0187712,0.7406750,-0.0225962,142,2.8300,15.70,6516.5270,4.0217,0.0950,0.0441,0.0595,0.0800,0.0507
 240, 9.64,7.7276323,64.6364382,0.6369447,0.9240539,0.0217539,0.1763318,0.6711717,624,2.1000,10.76,6580.8110,3.7852,-0.0105,0.0712,0.0077,0.0240,0.0543
 241, 8.08,89.0979384,239.4797492,0.9788193,1.8669613,0.0329791,1.0747860,-0.4404742,299,1.0900,24.79,5512.1950,4.5046,0.0526,0.0241,0.0033,0.0195,0.0711
 242, 8.61,78.7399073,106.8362613,0.2942584,2.0154409,0.0134850,0.0544849,0.8629986,931,1.4400,18.96,6516.5270,4.0217,0.0950,0.0966,0.0505,0.0703,0.0649
 243, 10.96,3.8389182,5.2924330,0.8907974,1.4638606,0.0316349,0.4507160,-0.1357070,273,0.7000,79.20,6580.8110,3.7852,-0.0105,0.0878,0.0794,0.0114,0.0167
 244, 9.83,66.9600435,189.2914029,0.5691331,2.5353410,0.0350246,0.4270033,0.2702038,456,0.5500,30.74,6516.5270,4.0217,0.0950,0.0061,0.0375,0.0755,0.0461
 245, 10.25,184.5359396,313.3964549,0.2991852,1.2313492,0.0699415,0.1825232,0.7748642,684,2.3900,31.97,5943.6130,4.0249,0.2235,0.0375,0.0921,0.0754,0.0842
 246, 9.37,43.1717395,51.0893242,0.3027058,1.8818141,0.0924946,0.2795898,0.2391660,660,0.6100,43.77,6580.8110,3.7852,-0.0105,0.0290,0.0610,0.0074,0.0464
 247, 8.97,282.5420735,321.3775288,0.6096158,2.2649858,0.0100427,0.6303764,-0.0595726,223,1.0300,45.93,6580.8110,3.7852,-0.0105,0.0053,0.0496,0.0898,0.0479
 248, 8.93,23.7087564,108.7574621,0.0690497,1.7468038,0.0387917,0.4284327,0.3946035,658,1.3100,16.79,6648.7570,4.3177,-0.1148,0.0542,0.0312,0.0867,0.0117
 249, 9.66,62.1555052,188.8925386,0.3829101,2.0072456,0.0530713,0.8007031,-0.0863123,51,0.5200,50.05,6580.8110,3.7852,-0.0105,0.0619,0.0598,0.0427,0.0431
 250, 10.17,208.6353003,361.1145399,0.2377996,2.0658572,0.0181044,0.6633443,-0.1217816,914,0.3200,30.26,6516.5270,4.0217,0.0950,0.0486,0.0367,0.0474,0.0005
 251, 9.66,53.7336439,320.3808937,0.6636584,1.0745231,0.0482553,1.0213703,-0.1816021,412,0.3300,19.40,6648.7570,4.3177,-0.1148,0.0513,0.0072,0.0689,0.0701
 252, 9.16,37.5018753,37.9682463,0.3722743,1.7155135,0.0506674,0.5514006,0.3161482,319,2.2200,39.11,5512.1950,4.5046,0.0526,0.0621,0.0683,0.0945,0.0448
 253, 9.99,2.3498701,106.5368859,1.0209152,1.8538743,0.0226503,0.0586669,0.8123287,380,0.4300,17.46,5512.1950,4.5046,0.0526,0.0832,0.0411,0.0725,0.0937
 254, 8.25,105.1033042,286.8088860,0.4608092,1.5389853,0.0387685,0.9192390,-0.1377947,931,1.4400,18.96,5512.1950,4.5046,0.0526,0.0420,0.0087,0.0538,0.0118
 255, 8.41,277.0318690,316.8671023,0.4807539,1.0753060,0.0951621,0.7394423,-0.3206180,513,1.3600,17.42,5943.6130,4.0249,0.2235,0.0066,0.0652,0.0346,0.0461
